Size,RandomArrayQuickSort,RandomArrayHybridSort,ReverseSortedArrayQuickSort,ReverseSortedArrayHybridSort,AlmostSortedArrayQuickSort,AlmostSortedArrayHybridSort
500,51,35,33,24,31,18
600,55,48,40,29,38,22
700,63,53,45,36,48,27
800,75,60,67,42,62,33
900,94,82,68,49,63,82
1000,94,79,69,54,70,45
1100,108,86,75,59,76,50
1200,115,98,85,66,83,59
1300,126,109,90,70,95,60
1400,136,115,95,75,97,66
1500,155,124,117,82,105,72
1600,157,133,110,88,114,83
1700,181,151,133,94,130,88
1800,180,149,125,99,127,89
1900,195,160,134,109,135,95
2000,206,170,151,111,144,103
2100,213,181,154,118,188,116
2200,233,189,154,123,162,124
2300,236,198,169,132,173,122
2400,250,217,185,138,187,136
2500,262,223,184,145,189,137
2600,283,228,188,148,193,141
2700,297,250,211,160,202,164
2800,310,267,216,170,208,160
2900,303,261,223,168,222,167
3000,322,272,219,172,241,167
3100,349,281,231,190,240,177
3200,344,293,241,193,241,189
3300,363,310,243,212,255,192
3400,379,324,255,203,278,200
3500,378,348,258,213,276,206
3600,395,337,273,225,283,215
3700,401,346,286,223,292,219
3800,420,354,284,232,300,222
3900,426,389,292,234,310,233
4000,441,369,297,245,316,237
4100,449,388,308,240,320,241
4200,462,402,313,254,336,255
4300,472,403,325,261,346,251
4400,490,428,335,263,348,261
4500,503,428,332,277,358,271
4600,513,432,346,286,366,275
4700,516,441,362,286,380,281
4800,527,452,369,296,393,295
4900,543,472,375,302,396,294
5000,549,493,381,307,400,300
5100,583,480,397,308,423,307
5200,583,510,410,321,418,316
5300,598,522,399,331,447,317
5400,607,519,401,334,441,326
5500,647,537,423,341,450,328
5600,622,545,424,353,457,337
5700,645,555,459,366,471,351
5800,655,566,440,362,486,359
5900,672,576,466,370,483,362
6000,684,597,496,370,497,363
6100,686,606,466,380,493,374
6200,689,596,483,382,502,376
6300,715,617,488,395,518,409
6400,733,624,492,401,527,407
6500,720,630,487,394,519,398
6600,778,635,524,406,537,409
6700,787,676,539,413,591,415
6800,780,683,528,428,562,425
6900,811,692,549,433,571,433
7000,804,700,546,436,585,450
7100,822,721,559,449,603,456
7200,851,736,590,455,620,464
7300,859,723,591,458,607,476
7400,874,753,591,465,625,476
7500,881,771,578,493,633,474
7600,875,762,597,475,633,479
7700,905,788,615,510,635,494
7800,905,795,621,505,664,507
7900,931,808,635,516,680,509
8000,926,809,630,512,687,534
8100,931,813,633,521,691,516
8200,972,841,651,522,698,534
8300,980,847,656,534,743,546
8400,994,855,668,536,715,545
8500,992,873,676,544,728,564
8600,1010,870,675,545,740,564
8700,1034,880,689,574,751,563
8800,1027,915,712,578,762,585
8900,1054,905,699,572,775,583
9000,1080,957,728,616,801,620
9100,1082,941,723,597,792,626
9200,1092,946,726,605,804,613
9300,1112,952,752,601,804,619
9400,1116,998,762,600,824,605
9500,1103,1078,732,631,818,627
9600,1115,1002,784,625,805,628
9700,1142,1008,771,616,854,634
9800,1189,1036,805,646,851,673
9900,1198,1025,800,649,861,659
10000,1200,1024,836,653,866,670
