N,Area,RelativeError
100,0.68055,-27.9474
600,1.00462,6.36341
1100,0.972214,2.93234
1600,0.929679,-1.57095
2100,0.967584,2.44218
2600,0.878732,-6.965
3100,1.0318,9.24109
3600,1.00192,6.07749
4100,0.912932,-3.34403
4600,0.938397,-0.64792
5100,0.955057,1.11588
5600,0.944436,-0.00858869
6100,0.948307,0.401212
6600,0.932441,-1.27853
7100,0.896901,-5.0413
7600,0.89546,-5.1939
8100,0.960211,1.66157
8600,0.923603,-2.21428
9100,0.898496,-4.87242
9600,0.947908,0.359027
10100,0.920234,-2.57098
10600,0.935526,-0.951904
11100,0.972214,2.93234
11600,0.888402,-5.94114
12100,1.02605,8.63189
12600,0.89814,-4.91013
13100,0.986314,4.42525
13600,0.928607,-1.68448
14100,0.923258,-2.25078
14600,0.904292,-4.25883
15100,0.943884,-0.0670176
15600,0.93669,-0.828654
16100,0.926924,-1.86265
16600,0.921846,-2.4003
17100,0.93469,-1.04049
17600,0.957299,1.35326
18100,0.948043,0.373244
18600,0.931443,-1.38418
19100,0.945236,0.0760976
19600,0.934516,-1.05892
20100,0.948997,0.47425
20600,0.948616,0.433978
21100,0.934431,-1.06788
21600,0.937556,-0.737012
22100,1.00565,6.47209
22600,0.91629,-2.98855
23100,0.948645,0.437006
23600,0.964386,2.10364
24100,0.963742,2.03541
24600,0.942573,-0.205846
25100,0.914501,-3.17799
25600,0.949048,0.479651
26100,0.919692,-2.62838
26600,0.931644,-1.36296
27100,0.956429,1.26111
27600,0.956362,1.25409
28100,0.952839,0.881015
28600,0.935841,-0.91863
29100,0.943816,-0.0742794
29600,0.955134,1.12406
30100,0.946697,0.230789
30600,0.960458,1.68773
31100,0.932825,-1.23791
31600,0.931602,-1.36737
32100,0.940715,-0.402544
32600,0.960285,1.66936
33100,0.944604,0.00918124
33600,0.936045,-0.896993
34100,0.937716,-0.720103
34600,0.947768,0.344152
35100,0.944792,0.0291155
35600,0.938623,-0.624035
36100,0.947437,0.309129
36600,0.907399,-3.92982
37100,0.940243,-0.452502
37600,0.930067,-1.52989
38100,0.942358,-0.228579
38600,0.921336,-2.45428
39100,0.948343,0.405096
39600,0.939806,-0.498743
40100,0.948696,0.442451
40600,0.932463,-1.27623
41100,0.954709,1.07905
41600,0.928978,-1.64518
42100,0.938267,-0.661739
42600,0.94962,0.540246
43100,0.943115,-0.14847
43600,0.943226,-0.136748
44100,0.928784,-1.66578
44600,0.983985,4.1786
45100,0.957124,1.33472
45600,0.95004,0.584756
46100,0.934253,-1.08671
46600,0.929653,-1.57372
47100,0.954049,1.00918
47600,0.945662,0.121158
48100,0.929161,-1.62579
48600,0.95561,1.17444
49100,0.925088,-2.05705
49600,0.932031,-1.32192
50100,0.933209,-1.19729
50600,0.944546,0.00303551
51100,0.95509,1.11944
51600,0.937169,-0.778016
52100,0.936385,-0.860949
52600,0.945043,0.0557091
53100,0.945665,0.121565
53600,0.949903,0.570269
54100,0.951188,0.706257
54600,0.96064,1.70695
55100,0.938689,-0.617056
55600,0.944061,-0.0482594
56100,0.948991,0.473702
56600,0.927382,-1.81419
57100,0.961827,1.83271
57600,0.938456,-0.641704
58100,0.959329,1.56817
58600,0.920783,-2.51289
59100,0.92204,-2.37974
59600,0.935185,-0.988074
60100,0.938405,-0.647175
60600,0.944619,0.0108233
61100,0.930525,-1.48146
61600,0.93907,-0.576722
62100,0.948104,0.379746
62600,0.944414,-0.0109377
63100,0.951259,0.713825
63600,0.925743,-1.9877
64100,0.933841,-1.13036
64600,0.948886,0.462596
65100,0.945183,0.0704684
65600,0.936497,-0.849173
66100,0.964712,2.13815
66600,0.961557,1.8041
67100,0.947872,0.355192
67600,0.941293,-0.3414
68100,0.942091,-0.256905
68600,0.934232,-1.08893
69100,0.948858,0.459576
69600,0.949445,0.521707
70100,0.949607,0.538901
70600,0.939577,-0.523042
71100,0.937072,-0.788285
71600,0.945328,0.0858823
72100,0.945515,0.105622
72600,0.932039,-1.32107
73100,0.957052,1.3271
73600,0.946191,0.177217
74100,0.920257,-2.5685
74600,0.941327,-0.337767
75100,0.932859,-1.2343
75600,0.938006,-0.689358
76100,0.942574,-0.205681
76600,0.954699,1.07794
77100,0.959604,1.59729
77600,0.947908,0.359027
78100,0.945948,0.151449
78600,0.941786,-0.289211
79100,0.915675,-3.05362
79600,0.953038,0.902137
80100,0.943933,-0.0618264
80600,0.939525,-0.528541
81100,0.938168,-0.6722
81600,0.943143,-0.145543
82100,0.954806,1.08933
82600,0.932077,-1.31705
83100,0.957004,1.32208
83600,0.959421,1.57796
84100,0.93025,-1.51052
84600,0.92705,-1.84927
85100,0.947308,0.295526
85600,0.948135,0.383076
86100,0.954147,1.01954
86600,0.923154,-2.26183
87100,0.934932,-1.01478
87600,0.936255,-0.874751
88100,0.952129,0.805924
88600,0.919543,-2.64413
89100,0.947226,0.286824
89600,0.951706,0.761106
90100,0.944698,0.0191559
90600,0.948498,0.421513
91100,0.936356,-0.864071
91600,0.94016,-0.461285
92100,0.949518,0.529463
92600,0.947541,0.320121
93100,0.933158,-1.20265
93600,0.956737,1.29378
94100,0.948451,0.416454
94600,0.96317,1.97483
95100,0.93265,-1.25639
95600,0.934891,-1.01915
96100,0.941864,-0.280953
96600,0.954601,1.06762
97100,0.944179,-0.0358475
97600,0.962153,1.86715
98100,0.936734,-0.824013
98600,0.956339,1.25159
99100,0.952789,0.875766
99600,0.948103,0.379696
