N,Area,RelativeError
100,0.9625,1.90392
600,0.94375,-0.0812252
1100,0.938636,-0.622627
1600,0.929688,-1.57008
2100,0.932738,-1.2471
2600,0.942308,-0.233928
3100,0.945968,0.153576
3600,0.939236,-0.55913
4100,0.939329,-0.549267
4600,0.955978,1.21343
5100,0.941912,-0.275847
5600,0.950446,0.627754
6100,0.937295,-0.764634
6600,0.950758,0.660696
7100,0.94331,-0.127825
7600,0.946382,0.197391
8100,0.940895,-0.383489
8600,0.947529,0.318881
9100,0.944231,-0.0303241
9600,0.94388,-0.0674395
10100,0.944183,-0.0353638
10600,0.949175,0.493092
11100,0.939527,-0.528329
11600,0.95,0.580489
12100,0.946074,0.164867
12600,0.94375,-0.0812252
13100,0.951622,0.752231
13600,0.938327,-0.655359
14100,0.939716,-0.508289
14600,0.944606,0.00942053
15100,0.94793,0.361378
15600,0.945272,0.0799615
16100,0.94705,0.268127
16600,0.94503,0.0543065
17100,0.947003,0.263176
17600,0.938494,-0.637666
18100,0.947583,0.324577
18600,0.94328,-0.131032
19100,0.948102,0.379549
19600,0.945855,0.141597
20100,0.952177,0.810936
20600,0.950971,0.683279
21100,0.945853,0.141437
21600,0.940799,-0.393701
22100,0.942873,-0.174045
22600,0.952102,0.803012
23100,0.943939,-0.0611733
23600,0.940519,-0.423298
24100,0.943724,-0.0839709
24600,0.944614,0.0102312
25100,0.949004,0.475036
25600,0.951025,0.689051
26100,0.940565,-0.41842
26600,0.943891,-0.0662993
27100,0.94548,0.101906
27600,0.944746,0.0242654
28100,0.941103,-0.361453
28600,0.945061,0.0575959
29100,0.94201,-0.265414
29600,0.942188,-0.246654
30100,0.945723,0.127621
30600,0.947508,0.316668
31100,0.947669,0.333676
31600,0.94193,-0.273876
32100,0.948949,0.469172
32600,0.942408,-0.223311
33100,0.942069,-0.259148
33600,0.951079,0.694713
34100,0.945784,0.134171
34600,0.949169,0.492515
35100,0.944658,0.0149212
35600,0.942556,-0.20762
36100,0.944529,0.0012599
36600,0.944945,0.0453321
37100,0.943801,-0.0758744
37600,0.946044,0.161638
38100,0.947769,0.344286
38600,0.944689,0.0182033
39100,0.942871,-0.174305
39600,0.947601,0.326497
40100,0.944358,-0.016869
40600,0.945228,0.0752391
41100,0.945985,0.155446
41600,0.940385,-0.437533
42100,0.939816,-0.497743
42600,0.947066,0.269825
43100,0.945766,0.132181
43600,0.946703,0.231419
44100,0.94708,0.271389
44600,0.945151,0.0671411
45100,0.944069,-0.0474793
45600,0.943147,-0.145075
46100,0.945716,0.126906
46600,0.941899,-0.277183
47100,0.945648,0.119677
47600,0.94572,0.127298
48100,0.942568,-0.206414
48600,0.939712,-0.508752
49100,0.944246,-0.0286654
49600,0.941457,-0.324031
50100,0.94511,0.0627405
50600,0.942737,-0.188459
51100,0.945744,0.12985
51600,0.942781,-0.183816
52100,0.943234,-0.135839
52600,0.943061,-0.15419
53100,0.948211,0.391071
53600,0.946175,0.175559
54100,0.946003,0.157285
54600,0.944414,-0.0109333
55100,0.944782,0.0280597
55600,0.943098,-0.150253
56100,0.941689,-0.299437
56600,0.941365,-0.333752
57100,0.943345,-0.124103
57600,0.944813,0.031358
58100,0.94318,-0.141588
58600,0.942022,-0.264156
59100,0.944247,-0.0286016
59600,0.94354,-0.10343
60100,0.942991,-0.1616
60600,0.942285,-0.23628
61100,0.941714,-0.296742
61600,0.944054,-0.0489989
62100,0.944163,-0.0375372
62600,0.942652,-0.197501
63100,0.941561,-0.312982
63600,0.948054,0.374483
64100,0.947582,0.324474
64600,0.946575,0.217878
65100,0.945853,0.141379
65600,0.944207,-0.0328071
66100,0.94671,0.232113
66600,0.947128,0.276458
67100,0.941934,-0.273527
67600,0.943269,-0.132126
68100,0.947761,0.343399
68600,0.943604,-0.0966587
69100,0.943506,-0.107081
69600,0.942888,-0.172496
70100,0.946897,0.251992
70600,0.9463,0.188709
71100,0.943759,-0.0802945
71600,0.945862,0.142427
72100,0.945146,0.0665361
72600,0.945644,0.119294
73100,0.949436,0.520744
73600,0.945652,0.120166
74100,0.94526,0.078622
74600,0.941823,-0.285239
75100,0.946005,0.157556
75600,0.944626,0.0115548
76100,0.945105,0.0622476
76600,0.945104,0.0621749
77100,0.943288,-0.130146
77600,0.945151,0.0671488
78100,0.947055,0.268695
78600,0.942048,-0.261386
79100,0.943142,-0.14564
79600,0.944315,-0.0213717
80100,0.945474,0.101345
80600,0.943843,-0.0713734
81100,0.941816,-0.286022
81600,0.945588,0.113396
82100,0.941367,-0.333499
82600,0.943462,-0.111667
83100,0.943953,-0.0597255
83600,0.944438,-0.00840502
84100,0.947131,0.276777
84600,0.944297,-0.0233448
85100,0.943478,-0.109995
85600,0.945473,0.10121
86100,0.943815,-0.0743083
86600,0.942552,-0.208066
87100,0.944001,-0.0546351
87600,0.942865,-0.174892
88100,0.944779,0.0276834
88600,0.942212,-0.24404
89100,0.945553,0.109639
89600,0.945299,0.0827262
90100,0.946018,0.158931
90600,0.943405,-0.117744
91100,0.948161,0.385824
91600,0.944992,0.0502507
92100,0.940513,-0.423937
92600,0.946247,0.183174
93100,0.944052,-0.0492412
93600,0.943763,-0.0798113
94100,0.944089,-0.0453619
94600,0.944741,0.0236977
95100,0.94214,-0.251698
95600,0.944587,0.00737246
96100,0.945447,0.098491
96600,0.94397,-0.0579351
97100,0.94395,-0.0600994
97600,0.938909,-0.593782
98100,0.945145,0.0664968
98600,0.944371,-0.0154565
99100,0.942999,-0.160684
99600,0.946235,0.181866
