Threshold,Size,RandomArrayHybridSort,ReverseSortedArrayHybridSort,AlmostSortedArrayHybridSort
5,500,68,51,52
5,600,238,70,69
5,700,139,82,70
5,800,128,88,88
5,900,145,91,90
5,1000,156,97,127
5,1100,152,103,103
5,1200,165,109,110
5,1300,182,127,123
5,1400,206,150,144
5,1500,230,169,160
5,1600,262,169,173
5,1700,266,194,199
5,1800,275,182,184
5,1900,316,187,195
5,2000,290,188,192
5,2100,310,197,213
5,2200,324,216,203
5,2300,337,233,221
5,2400,354,221,218
5,2500,377,228,265
5,2600,380,254,240
5,2700,431,272,326
5,2800,470,335,290
5,2900,480,308,328
5,3000,494,361,367
5,3100,526,343,361
5,3200,550,343,371
5,3300,550,377,364
5,3400,565,392,377
5,3500,570,408,389
5,3600,582,396,454
5,3700,690,380,395
5,3800,641,390,444
5,3900,640,427,404
5,4000,670,454,406
5,4100,678,414,418
5,4200,804,488,482
5,4300,995,509,502
5,4400,691,421,457
5,4500,710,445,463
5,4600,757,444,458
5,4700,853,470,496
5,4800,826,450,470
5,4900,766,496,472
5,5000,838,522,512
5,5100,787,488,518
5,5200,876,498,528
5,5300,923,517,525
5,5400,879,566,598
5,5500,1021,575,570
5,5600,973,596,654
5,5700,1051,613,672
5,5800,1043,651,711
5,5900,1117,651,675
5,6000,1130,683,697
5,6100,1123,733,758
5,6200,1209,697,790
5,6300,1191,730,743
5,6400,1180,770,765
5,6500,1205,720,753
5,6600,1311,836,874
5,6700,1176,745,765
5,6800,1220,754,785
5,6900,1218,744,794
5,7000,1259,776,799
5,7100,1273,762,837
5,7200,1270,797,881
5,7300,1313,782,836
5,7400,1306,786,889
5,7500,1433,797,910
5,7600,1344,925,862
5,7700,1329,867,833
5,7800,1360,824,867
5,7900,1347,907,906
5,8000,1388,850,897
5,8100,1377,967,879
5,8200,1402,955,890
5,8300,1436,967,889
5,8400,1418,896,905
5,8500,1455,892,959
5,8600,1475,884,998
5,8700,1507,944,946
5,8800,1568,893,1040
5,8900,1549,969,938
5,9000,1575,952,1004
5,9100,1540,932,973
5,9200,1560,947,937
5,9300,1616,957,949
5,9400,1704,1022,1033
5,9500,1617,976,982
5,9600,1690,1154,1021
5,9700,1648,980,986
5,9800,1774,978,1204
5,9900,1688,1024,1024
5,10000,1688,1054,1027
10,500,46,33,31
10,600,58,41,36
10,700,81,56,54
10,800,89,68,56
10,900,97,63,60
10,1000,110,79,67
10,1100,132,80,71
10,1200,136,107,81
10,1300,147,97,85
10,1400,180,120,113
10,1500,193,131,122
10,1600,240,137,129
10,1700,223,166,137
10,1800,224,142,135
10,1900,254,152,151
10,2000,251,162,151
10,2100,303,161,173
10,2200,294,173,156
10,2300,280,177,158
10,2400,298,184,189
10,2500,322,198,176
10,2600,343,244,219
10,2700,357,221,213
10,2800,403,283,236
10,2900,418,272,272
10,3000,417,271,256
10,3100,430,265,304
10,3200,459,319,289
10,3300,529,271,278
10,3400,486,334,327
10,3500,560,383,374
10,3600,497,345,330
10,3700,559,307,294
10,3800,588,354,312
10,3900,529,359,334
10,4000,550,331,356
10,4100,567,348,348
10,4200,607,372,335
10,4300,624,363,334
10,4400,655,375,353
10,4500,619,445,365
10,4600,673,383,363
10,4700,723,403,439
10,4800,651,547,365
10,4900,701,442,372
10,5000,718,461,379
10,5100,708,432,421
10,5200,759,452,450
10,5300,795,489,457
10,5400,799,534,485
10,5500,889,488,495
10,5600,871,551,539
10,5700,869,556,567
10,5800,919,571,541
10,5900,934,593,543
10,6000,942,571,555
10,6100,987,553,577
10,6200,957,606,556
10,6300,981,630,567
10,6400,1008,628,588
10,6500,1002,600,601
10,6600,1009,626,602
10,6700,1046,608,606
10,6800,1023,667,655
10,6900,1098,635,605
10,7000,1069,645,634
10,7100,1095,658,617
10,7200,1104,703,633
10,7300,1103,779,633
10,7400,1141,731,639
10,7500,1166,682,642
10,7600,1144,672,650
10,7700,1188,699,647
10,7800,1188,701,669
10,7900,1181,752,674
10,8000,1185,750,716
10,8100,1255,773,703
10,8200,1261,773,742
10,8300,1243,789,708
10,8400,1416,812,701
10,8500,1292,779,742
10,8600,1332,820,757
10,8700,1286,782,726
10,8800,1302,825,789
10,8900,1364,863,767
10,9000,1391,961,742
10,9100,1365,897,788
10,9200,1413,845,774
10,9300,1406,892,772
10,9400,1404,867,856
10,9500,1514,835,780
10,9600,1408,967,831
10,9700,1464,976,854
10,9800,1441,894,830
10,9900,1543,913,783
10,10000,1648,900,810
15,500,44,32,35
15,600,67,41,34
15,700,67,48,38
15,800,77,56,43
15,900,121,64,47
15,1000,107,74,66
15,1100,121,80,72
15,1200,134,91,80
15,1300,158,94,114
15,1400,151,100,87
15,1500,161,109,123
15,1600,173,122,96
15,1700,196,156,101
15,1800,204,143,132
15,1900,212,148,111
15,2000,285,155,135
15,2100,291,164,153
15,2200,270,173,154
15,2300,308,220,160
15,2400,293,196,243
15,2500,301,208,171
15,2600,327,231,178
15,2700,330,241,223
15,2800,336,219,220
15,2900,353,239,216
15,3000,364,242,226
15,3100,375,276,216
15,3200,431,260,205
15,3300,425,263,215
15,3400,432,277,251
15,3500,458,284,221
15,3600,478,300,242
15,3700,454,301,264
15,3800,489,350,237
15,3900,522,344,263
15,4000,550,337,346
15,4100,557,397,324
